date,station_301,station_356,station_391,station_428,station_446,station_462,station_463,station_473,station_508,station_518,station_539,station_540,station_541,station_574,station_575,station_587,station_633,station_697,station_724,station_771,station_778,station_784,station_809,station_834,station_846,station_848,station_977,station_1049,station_1050,station_1051,station_1052,station_1067,station_1258
1979-02-02,,,,,,,,,,,,,,,,-553,,,,,,,,,32,,,,,,,32,
1979-02-03,,,,,,,,,,,,,,,,47,,,,,,,,,32,,,,,,,32,
1979-02-04,,,,,,,,,,,,,,,,63,,,,,,,,,32,,,,,,,32,
1979-02-05,,,,,,,,,,,,,,,,91,,,,,,,,,32,,,,,,,32,
1979-02-06,,,,,,,,,,,,,,,,106,,,,,,,,,32,,,,,,,32,
1979-02-07,,,,,,,,,,,,,,,,123,,,,,,,,,32,,,,,,,32,
1979-02-08,,,,,,,,,,,,,,,,136,,,,,,,,,32,,,,,,,,
1979-02-09,,,,,,,,,,,,,,,,142,,,,,,,,,32,,,,,,,32,
1979-02-10,,,,,,,,,,,,,,,,154,,,,,,,,,32,,,,,,,,
1979-02-11,,,,,,,,,,,,,,,,172,,,,,,,,,32,,,,,,,32,
1979-02-12,,,,,,,,,,,,,,,,198,,,,,,,,,32,,,,,,,32,
1979-02-13,,,,,,,,,,,,,,,,203,,,,,,,,,32,,,,,,,32,
1979-02-14,,,,,,,,,,,,,,,,208,,,,,,,,,32,,,,,,,32,
1979-02-15,,,,,,,,,,,,,,,,218,,,,,,,,,32,,,,,,,32,
1979-02-16,,,,,,,,,,,,,,,,224,,,,,,,,,32,,,,,,,32,
1979-02-17,,,,,,,,,,,,,,,,265,,,,,,,,,32,,,,,,,32,
1979-02-18,,,,,,,,,,,,,,,,298,,,,,,,,,32,,,,,,,32,
1979-02-19,,,,,,,,,,,,,,,,306,,,,,,,,,32,,,,,,,32,
1979-02-20,,,,,,,,,,,,,,,,311,,,,,,,,,32,,,,,,,32,
1979-02-21,,,,,,,,,,,,,,,,317,,,,,,,,,32,,,,,,,32,
1979-02-22,,,,,,,,,,,,,,,,337,,,,,,,,,32,,,,,,,32,
1979-02-23,,,,,,,,,,,,,,,,340,,,,,,,,,32,,,,,,,32,
1979-02-24,,,,,,,,,,,,,,,,390,,,,,,,,,32,,,,,,,32,
1979-02-25,,,,,,,,,,,,,,,,397,,,,,,,,,32,,,,,,,32,
1979-02-26,,,,,,,,,,,,,,,,404,,,,,,,,,32,,,,,,,32,
1979-02-27,,,,,,,,,,,,,,,,434,,,,,,,,,,,,,,,,32,
1979-02-28,,,,,,,,,,,,,,,,461,,,,,,,,,32,,,,,,,32,
1979-03-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979-03-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979-03-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979-03-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979-03-05,,,,,,,,,,,,,,,,614,,,,,,,,,,,,,,,,32,
1979-03-06,,,,,,,,,,,,,,,,615,,,,,,,,,32,,,,,,,32,
1979-03-07,,,,,,,,,,,,,,,,632,,,,,,,,,32,,,,,,,32,
1979-03-08,,,,,,,,,,,,,,,,643,,,,,,,,,32,,,,,,,32,
1979-03-09,,,,,,,,,,,,,,,,671,,,,,,,,,32,,,,,,,32,
1979-03-10,,,,,,,,,,,,,,,,709,,,,,,,,,32,,,,,,,32,
1979-03-11,,,,,,,,,,,,,,,,735,,,,,,,,,32,,,,,,,32,
1979-03-12,,,,,,,,,,,,,,,,746,,,,,,,,,32,,,,,,,32,
1979-03-13,,,,,,,,,,,,,,,,765,,,,,,,,,32,,,,,,,32,
1979-03-14,,,,,,,,,,,,,,,,-703,,,,,,,,,32,,,,,,,32,
1979-03-15,,,,,,,,,,,,,,,,-687,,,,,,,,,32,,,,,,,32,
1979-03-16,,,,,,,,,,,,,,,,-681,,,,,,,,,32,,,,,,,32,
1979-03-17,,,,,,,,,,,,,,,,-674,,,,,,,,,32,,,,,,,32,
1979-03-18,,,,,,,,,,,,,,,,-663,,,,,,,,,32,,,,,,,32,
1979-03-19,,,,,,,,,,,,,,,,-656,,,,,,,,,32,,,,,,,32,
1979-03-20,,,,,,,,,,,,,,,,-649,,,,,,,,,32,,,,,,,32,
1979-03-21,,,,,,,,,,,,,,,,-638,,,,,,,,,32,,,,,,,32,
1979-03-22,,,,,,,,,,,,,,,,-633,,,,,,,,,32,,,,,,,32,
1979-03-23,,,,,,,,,,,,,,,,-625,,,,,,,,,32,,,,,,,32,
1979-03-24,,,,,,,,,,,,,,,,-601,,,,,,,,,32,,,,,,,32,
1979-03-25,,,,,,,,,,,,,,,,-582,,,,,,,,,32,,,,,,,32,
1979-03-26,,,,,,,,,,,,,,,,-578,,,,,,,,,32,,,,,,,32,
1979-03-27,,,,,,,,,,,,,,,,-567,,,,,,,,,32,,,,,,,32,
1979-03-28,,,,,,,,,,,,,,,,39,,,,,,,,,32,,,,,,,32,
1979-03-29,,,,,,,,,,,,,,,,57,,,,,,,,,32,,,,,,,32,
1979-03-30,,,,,,,,,,,,,,,,70,,,,,,,,,32,,,,,,,32,
1979-03-31,,,,,,,,,,,,,,,,74,,,,,,,,,32,,,,,,,32,
1979-04-01,,,,,,,,,,,,,,,,84,,,,,,,,,32,,,,,,,32,
1979-04-02,,,,,,,,,,,,,,,,93,,,,,,,,,32,,,,,,,32,
1979-04-03,,,,,,,,,,,,,,,,97,,,,,,,,,32,,,,,,,32,
1979-04-04,,,,,,,,,,,,,,,,112,,,,,,,,,32,,,,,,,32,
1979-04-05,,,,,,,,,,,,,,,,116,,,,,,,,,32,,,,,,,32,
1979-04-06,,,,,,,,,,,,,,,,130,,,,,,,,,32,,,,,,,32,
1979-04-07,,,,,,,,,,,,,,,,136,,,,,,,,,32,,,,,,,32,
1979-04-08,,,,,,,,,,,,,,,,144,,,,,,,,,32,,,,,,,32,
1979-04-09,,,,,,,,,,,,,,,,151,,,,,,,,,32,,,,,,,32,
1979-04-10,,,,,,,,,,,,,,,,167,,,,,,,,,32,,,,,,,32,
1979-04-11,,,,,,,,,,,,,,,,179,,,,,,,,,32,,,,,,,32,
1979-04-12,,,,,,,,,,,,,,,,204,,,,,,,,,32,,,,,,,32,
1979-04-13,,,,,,,,,,,,,,,,213,,,,,,,,,32,,,,,,,32,
1979-04-14,,,,,,,,,,,,,,,,220,,,,,,,,,32,,,,,,,32,
1979-04-15,,,,,,,,,,,,,,,,225,,,,,,,,,32,,,,,,,32,
1979-04-16,,,,,,,,,,,,,,,,232,,,,,,,,,32,,,,,,,32,
1979-04-17,,,,,,,,,,,,,,,,266,,,,,,,,,32,,,,,,,32,
1979-04-18,,,,,,,,,,,,,,,,278,,,,,,,,,32,,,,,,,32,
1979-04-19,,,,,,,,,,,,,,,,284,,,,,,,,,32,,,,,,,32,
1979-04-20,,,,,,,,,,,,,,,,302,,,,,,,,,32,,,,,,,32,
1979-04-21,,,,,,,,,,,,,,,,305,,,,,,,,,32,,,,,,,32,
1979-04-22,,,,,,,,,,,,,,,,311,,,,,,,,,32,,,,,,,32,
1979-04-23,,,,,,,,,,,,,,,,315,,,,,,,,,32,,,,,,,32,
1979-04-24,,,,,,,,,,,,,,,,317,,,,,,,,,32,,,,,,,32,
